name	category	bundled	note
sysprof	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
taglib	NEEDS-MANUAL-REVIEW	3rdparty	multi-bundled: ['3rdparty']
tdb	NEEDS-MANUAL-REVIEW	third_party	third_party/ bundling without explicit extract or multi-source
thunderbird	NEEDS-MANUAL-REVIEW	third_party	third_party/ bundling without explicit extract or multi-source
tinysparql	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['libstemmer_c-3.0.1', 'packagefiles']
transmission	NEEDS-MANUAL-REVIEW	third-party	third_party/ bundling without explicit extract or multi-source
upower	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
vte	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['fast_float', 'fmt', 'packagefiles']
wireplumber	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
wxwidgets	NEEDS-MANUAL-REVIEW	3rdparty	multi-bundled: ['3rdparty']
xdg-desktop-portal-gnome	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['libgxdp']
zix	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
